feature_id,project_id,feature_name,priority,status,estimated_story_points,created_at
FEAT000001,PROJ000046,Multi-language Support,Medium,Planned,7,2025-04-09
FEAT000002,PROJ000206,PDF Export,High,Released,4,2024-10-21
FEAT000003,PROJ000052,Workflow Automation,Low,Released,6,2026-05-24
FEAT000004,PROJ000176,API Enhancements,High,Released,15,2026-01-30
FEAT000005,PROJ000209,Custom Reports,High,Testing,7,2026-07-02
FEAT000006,PROJ000213,Advanced Dashboard,Critical,Planned,5,2024-10-17
FEAT000007,PROJ000242,Slack Integration,Medium,In Development,11,2026-03-18
FEAT000008,PROJ000188,Search Improvements,Low,Testing,6,2024-09-05
FEAT000009,PROJ000059,PDF Export,High,Testing,14,2026-07-21
FEAT000010,PROJ000001,Mobile Optimization,High,Backlog,7,2024-09-24
FEAT000011,PROJ000214,Role Based Access,Low,Planned,17,2024-12-16
FEAT000012,PROJ000227,Mobile Optimization,Medium,Released,10,2025-09-02
FEAT000013,PROJ000086,Workflow Automation,Low,Planned,9,2026-03-16
FEAT000014,PROJ000188,Role Based Access,Low,Planned,21,2024-08-29
FEAT000015,PROJ000028,Analytics Widgets,High,Planned,8,2024-11-24
FEAT000016,PROJ000071,Slack Integration,High,Released,6,2026-02-19
FEAT000017,PROJ000109,API Enhancements,Critical,In Development,16,2025-05-14
FEAT000018,PROJ000237,Workflow Automation,High,Testing,7,2025-01-14
FEAT000019,PROJ000008,Slack Integration,High,Testing,3,2026-03-15
FEAT000020,PROJ000085,Roadmap View,High,Testing,3,2026-05-21
FEAT000021,PROJ000143,Multi-language Support,Medium,Testing,7,2025-08-06
FEAT000022,PROJ000250,Search Improvements,Medium,In Development,19,2024-10-08
FEAT000023,PROJ000018,Role Based Access,Medium,Planned,20,2025-07-02
FEAT000024,PROJ000154,Analytics Widgets,High,Testing,10,2025-07-23
FEAT000025,PROJ000130,Mobile Optimization,High,Testing,6,2026-06-13
FEAT000026,PROJ000219,Multi-language Support,Critical,Planned,21,2026-07-17
FEAT000027,PROJ000247,Slack Integration,Low,In Development,20,2025-10-05
FEAT000028,PROJ000102,Search Improvements,Low,Testing,5,2025-01-23
FEAT000029,PROJ000159,Multi-language Support,Critical,Released,17,2025-06-23
FEAT000030,PROJ000108,Analytics Widgets,Low,In Development,19,2026-07-04
FEAT000031,PROJ000046,Notification Center,Medium,Testing,15,2026-04-26
FEAT000032,PROJ000119,Notification Center,Medium,Planned,12,2025-10-29
FEAT000033,PROJ000136,PDF Export,Critical,In Development,8,2024-08-31
FEAT000034,PROJ000041,Roadmap View,High,Planned,9,2025-10-30
FEAT000035,PROJ000202,Analytics Widgets,Critical,Testing,17,2026-01-17
FEAT000036,PROJ000063,Analytics Widgets,Critical,In Development,4,2025-05-26
FEAT000037,PROJ000057,PDF Export,Medium,In Development,11,2026-02-03
FEAT000038,PROJ000132,Mobile Optimization,Medium,Planned,6,2025-10-20
FEAT000039,PROJ000180,Notification Center,Medium,In Development,17,2025-07-01
FEAT000040,PROJ000106,Slack Integration,High,Testing,2,2024-10-13
FEAT000041,PROJ000045,Mobile Optimization,Low,Testing,7,2026-06-08
FEAT000042,PROJ000065,Mobile Optimization,Medium,Planned,20,2025-12-19
FEAT000043,PROJ000083,PDF Export,Medium,Backlog,19,2024-11-15
FEAT000044,PROJ000229,Analytics Widgets,High,In Development,20,2025-12-04
FEAT000045,PROJ000213,API Enhancements,Medium,In Development,21,2025-08-16
FEAT000046,PROJ000245,Search Improvements,High,Released,10,2024-09-24
FEAT000047,PROJ000127,AI Insights,High,Planned,10,2025-06-11
FEAT000048,PROJ000115,Custom Reports,Low,Testing,14,2025-08-04
FEAT000049,PROJ000197,Custom Reports,Critical,Planned,7,2026-03-23
FEAT000050,PROJ000007,Search Improvements,High,Planned,18,2026-01-02
FEAT000051,PROJ000221,Custom Reports,High,Planned,2,2025-04-09
FEAT000052,PROJ000097,Role Based Access,Medium,In Development,6,2026-04-19
FEAT000053,PROJ000175,AI Insights,Medium,Testing,9,2025-10-22
FEAT000054,PROJ000019,Role Based Access,Critical,Planned,3,2025-02-03
FEAT000055,PROJ000229,Search Improvements,Medium,Testing,11,2025-05-31
FEAT000056,PROJ000164,Notification Center,Low,Planned,17,2026-04-24
FEAT000057,PROJ000004,API Enhancements,High,Backlog,18,2024-09-18
FEAT000058,PROJ000154,PDF Export,High,Backlog,17,2026-07-06
FEAT000059,PROJ000024,Roadmap View,Low,Backlog,6,2025-12-19
