project_id,workspace_id,project_name,project_type,description,owner_user_id,technology_stack,status,budget_usd,start_date,end_date
PROJ000001,WS0018,Project-1,AI Product,Eye ago total itself watch. Know fact mission car art blue voice entire.,USR000547,Java Spring,On Hold,308576,2024-10-28,2025-03-18
PROJ000002,WS0017,Project-2,CRM System,Order consider number four body. Between much ahead choose single difficult study.,USR000769,Vue,On Hold,329461,2025-12-15,2026-01-31
PROJ000003,WS0003,Project-3,CRM System,Shake listen worry east director economy candidate outside. Possible glass be. Team movie purpose interview from.,USR000010,React,Active,127998,2024-04-26,2025-03-18
PROJ000004,WS0019,Project-4,Web Application,Miss lay area charge mean. Development performance difficult your top according future.,USR000242,Django,Completed,383949,2026-03-04,2026-04-03
PROJ000005,WS0005,Project-5,Cloud Platform,Age rate week hit see peace. Training involve form future law discussion. Green story accept.,USR000371,Angular,Planning,75611,2024-07-02,2027-06-07
PROJ000006,WS0022,Project-6,AI Product,Officer either nothing too letter resource answer.,USR000021,Node.js,On Hold,302841,2025-05-19,2025-11-06
PROJ000007,WS0013,Project-7,AI Product,Ground official color college.,USR000473,React,Planning,469362,2023-10-15,2026-05-31
PROJ000008,WS0009,Project-8,Web Application,Home toward national possible artist. Want good serve local family.,USR000640,React,Planning,149501,2026-04-21,2027-06-02
PROJ000009,WS0028,Project-9,Web Application,Shake enough leg likely leave. Southern product development officer right weight.,USR000579,Vue,Completed,271388,2024-11-29,2027-06-06
PROJ000010,WS0030,Project-10,AI Product,Beyond wife billion exactly family. Entire group election civil much allow interesting this. Despite sometimes defense wind wide.,USR000437,Django,Active,444983,2023-10-23,2025-03-25
PROJ000011,WS0020,Project-11,Web Application,Million law Congress dream the whole. Can care together many play money respond. Character let hold morning.,USR000514,React,Planning,492263,2025-12-18,2027-01-12
PROJ000012,WS0004,Project-12,Analytics Dashboard,Attorney listen see pick respond difference.,USR000179,Node.js,Active,275273,2023-11-24,2026-09-29
PROJ000013,WS0022,Project-13,AI Product,Kid sport message long able owner. Suggest school nation expert media. Would organization pick rise difference.,USR000647,Python/FastAPI,Planning,413311,2023-09-30,2026-09-02
PROJ000014,WS0006,Project-14,AI Product,Claim debate quality middle success. Population point know business early above. Financial friend across none that heavy condition past.,USR000350,Node.js,Active,334210,2025-01-21,2025-04-04
