chunk_id,feedback_id,project_id,user_id,chunk_index,chunk_text,token_count,embedding_status,source_type,created_at
CHNK00000001,FDBK00000001,PROJ000177,USR000664,1,Integrate with Slack notifications.,4,Pending,Customer Feedback,2026-01-10
CHNK00000002,FDBK00000002,PROJ000176,USR000124,1,How do I archive projects?,5,Pending,Customer Feedback,2026-02-19
CHNK00000003,FDBK00000003,PROJ000166,USR000583,1,Excellent dashboard experience.,3,Pending,Customer Feedback,2026-04-23
CHNK00000004,FDBK00000004,PROJ000195,USR000426,1,Improve application performance.,3,Pending,Customer Feedback,2025-08-06
CHNK00000005,FDBK00000005,PROJ000140,USR000584,1,Login page becomes unresponsive after timeout.,6,Pending,Customer Feedback,2024-08-23
CHNK00000006,FDBK00000006,PROJ000160,USR000605,1,Support response is too slow.,5,Pending,Customer Feedback,2026-01-26
CHNK00000007,FDBK00000007,PROJ000147,USR000149,1,Reduce loading times.,3,Pending,Customer Feedback,2024-10-14
CHNK00000008,FDBK00000008,PROJ000088,USR000034,1,Enable custom dashboard widgets.,4,Pending,Customer Feedback,2026-03-18
CHNK00000009,FDBK00000009,PROJ000160,USR000504,1,Support multilingual interface.,3,Pending,Customer Feedback,2025-09-27
CHNK00000010,FDBK00000010,PROJ000003,USR000114,1,How do I archive projects?,5,Pending,Customer Feedback,2026-02-17
CHNK00000011,FDBK00000011,PROJ000156,USR000163,1,Provide export to PDF option.,5,Pending,Customer Feedback,2026-01-12
CHNK00000012,FDBK00000012,PROJ000245,USR000220,1,Simplify navigation menus.,3,Pending,Customer Feedback,2025-01-24
CHNK00000013,FDBK00000013,PROJ000135,USR000605,1,Great collaboration features.,3,Pending,Customer Feedback,2026-07-03
CHNK00000014,FDBK00000014,PROJ000185,USR000293,1,AI suggestions are extremely useful.,5,Pending,Customer Feedback,2025-06-23
CHNK00000015,FDBK00000015,PROJ000102,USR000707,1,Enable custom dashboard widgets.,4,Pending,Customer Feedback,2026-06-24
CHNK00000016,FDBK00000016,PROJ000236,USR000721,1,Integrate with Slack notifications.,4,Pending,Customer Feedback,2024-12-24
CHNK00000017,FDBK00000017,PROJ000075,USR000414,1,Reports are difficult to understand.,5,Pending,Customer Feedback,2025-08-02
CHNK00000018,FDBK00000018,PROJ000028,USR000034,1,Integrate with Slack notifications.,4,Pending,Customer Feedback,2025-03-13
CHNK00000019,FDBK00000019,PROJ000078,USR000636,1,Reduce loading times.,3,Pending,Customer Feedback,2024-11-20
CHNK00000020,FDBK00000020,PROJ000079,USR000126,1,Is API access available?,4,Pending,Customer Feedback,2025-01-07
CHNK00000021,FDBK00000021,PROJ000224,USR000177,1,Search results are inaccurate.,4,Pending,Customer Feedback,2025-07-17
CHNK00000022,FDBK00000022,PROJ000087,USR000215,1,Enable custom dashboard widgets.,4,Pending,Customer Feedback,2025-07-21
CHNK00000023,FDBK00000023,PROJ000184,USR000122,1,Enhance dashboard usability.,3,Pending,Customer Feedback,2024-08-25
CHNK00000024,FDBK00000024,PROJ000224,USR000075,1,Can I restore deleted tickets?,5,Pending,Customer Feedback,2026-06-15
CHNK00000025,FDBK00000025,PROJ000024,USR000755,1,Is API access available?,4,Pending,Customer Feedback,2025-06-28
CHNK00000026,FDBK00000026,PROJ000186,USR000600,1,Excellent dashboard experience.,3,Pending,Customer Feedback,2024-11-30
CHNK00000027,FDBK00000027,PROJ000171,USR000004,1,Optimize search experience.,3,Pending,Customer Feedback,2025-05-29
CHNK00000028,FDBK00000028,PROJ000010,USR000664,1,Reduce loading times.,3,Pending,Customer Feedback,2024-09-16
CHNK00000029,FDBK00000029,PROJ000227,USR000660,1,Reduce loading times.,3,Pending,Customer Feedback,2024-08-09
CHNK00000030,FDBK00000030,PROJ000240,USR000796,1,Simplify navigation menus.,3,Pending,Customer Feedback,2024-08-22
CHNK00000031,FDBK00000031,PROJ000189,USR000530,1,Is API access available?,4,Pending,Customer Feedback,2026-03-04
CHNK00000032,FDBK00000032,PROJ000026,USR000567,1,Can I restore deleted tickets?,5,Pending,Customer Feedback,2024-09-07
CHNK00000033,FDBK00000033,PROJ000041,USR000187,1,Enhance dashboard usability.,3,Pending,Customer Feedback,2026-05-22
CHNK00000034,FDBK00000034,PROJ000237,USR000739,1,Add dark mode support.,4,Pending,Customer Feedback,2025-12-20
CHNK00000035,FDBK00000035,PROJ000144,USR000056,1,Reduce loading times.,3,Pending,Customer Feedback,2025-09-18
CHNK00000036,FDBK00000036,PROJ000068,USR000500,1,Support multilingual interface.,3,Pending,Customer Feedback,2026-04-16
CHNK00000037,FDBK00000037,PROJ000105,USR000304,1,Provide export to PDF option.,5,Pending,Customer Feedback,2024-10-07
CHNK00000038,FDBK00000038,PROJ000130,USR000317,1,Excellent dashboard experience.,3,Pending,Customer Feedback,2026-05-29
CHNK00000039,FDBK00000039,PROJ000140,USR000322,1,Workflow is confusing.,3,Pending,Customer Feedback,2026-06-02
CHNK00000040,FDBK00000040,PROJ000242,USR000612,1,How do permissions work?,4,Pending,Customer Feedback,2025-02-14
CHNK00000041,FDBK00000041,PROJ000176,USR000739,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2025-11-12
CHNK00000042,FDBK00000042,PROJ000248,USR000102,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2025-03-31
CHNK00000043,FDBK00000043,PROJ000198,USR000107,1,Simplify navigation menus.,3,Pending,Customer Feedback,2025-12-25
CHNK00000044,FDBK00000044,PROJ000226,USR000054,1,Integrate with Slack notifications.,4,Pending,Customer Feedback,2024-08-27
CHNK00000045,FDBK00000045,PROJ000134,USR000301,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2025-01-15
CHNK00000046,FDBK00000046,PROJ000238,USR000789,1,Fast and reliable platform.,4,Pending,Customer Feedback,2025-03-26
CHNK00000047,FDBK00000047,PROJ000075,USR000268,1,Application freezes frequently.,3,Pending,Customer Feedback,2024-12-28
CHNK00000048,FDBK00000048,PROJ000160,USR000789,1,Workflow is confusing.,3,Pending,Customer Feedback,2025-01-07
CHNK00000049,FDBK00000049,PROJ000084,USR000365,1,Login page becomes unresponsive after timeout.,6,Pending,Customer Feedback,2025-03-06
CHNK00000050,FDBK00000050,PROJ000082,USR000452,1,AI suggestions are extremely useful.,5,Pending,Customer Feedback,2025-04-30
CHNK00000051,FDBK00000051,PROJ000190,USR000332,1,Enhance dashboard usability.,3,Pending,Customer Feedback,2024-09-07
CHNK00000052,FDBK00000052,PROJ000121,USR000636,1,Support response is too slow.,5,Pending,Customer Feedback,2024-12-11
CHNK00000053,FDBK00000053,PROJ000104,USR000495,1,Login page becomes unresponsive after timeout.,6,Pending,Customer Feedback,2025-11-28
CHNK00000054,FDBK00000054,PROJ000073,USR000285,1,Workflow is confusing.,3,Pending,Customer Feedback,2026-03-22
CHNK00000055,FDBK00000055,PROJ000025,USR000346,1,Search results are inaccurate.,4,Pending,Customer Feedback,2025-03-28
CHNK00000056,FDBK00000056,PROJ000230,USR000564,1,Support response is too slow.,5,Pending,Customer Feedback,2025-10-29
CHNK00000057,FDBK00000057,PROJ000023,USR000193,1,Reports are difficult to understand.,5,Pending,Customer Feedback,2025-06-17
CHNK00000058,FDBK00000058,PROJ000063,USR000274,1,AI suggestions are extremely useful.,5,Pending,Customer Feedback,2026-06-15
CHNK00000059,FDBK00000059,PROJ000154,USR000611,1,Can I restore deleted tickets?,5,Pending,Customer Feedback,2026-04-04
CHNK00000060,FDBK00000060,PROJ000243,USR000723,1,Search results are inaccurate.,4,Pending,Customer Feedback,2025-10-20
CHNK00000061,FDBK00000061,PROJ000091,USR000226,1,How do I archive projects?,5,Pending,Customer Feedback,2025-09-03
CHNK00000062,FDBK00000062,PROJ000141,USR000150,1,Application freezes frequently.,3,Pending,Customer Feedback,2025-01-11
CHNK00000063,FDBK00000063,PROJ000205,USR000734,1,How do I archive projects?,5,Pending,Customer Feedback,2026-03-31
CHNK00000064,FDBK00000064,PROJ000120,USR000754,1,Optimize search experience.,3,Pending,Customer Feedback,2025-03-14
CHNK00000065,FDBK00000065,PROJ000123,USR000489,1,Integrate with Slack notifications.,4,Pending,Customer Feedback,2025-06-04
CHNK00000066,FDBK00000066,PROJ000117,USR000473,1,Fast and reliable platform.,4,Pending,Customer Feedback,2024-07-26
CHNK00000067,FDBK00000067,PROJ000155,USR000686,1,Too many unnecessary notifications.,4,Pending,Customer Feedback,2026-03-01
CHNK00000068,FDBK00000068,PROJ000068,USR000303,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2024-07-26
CHNK00000069,FDBK00000069,PROJ000187,USR000482,1,Where can I export analytics?,5,Pending,Customer Feedback,2024-09-15
CHNK00000070,FDBK00000070,PROJ000223,USR000033,1,Simplify navigation menus.,3,Pending,Customer Feedback,2026-04-25
CHNK00000071,FDBK00000071,PROJ000211,USR000651,1,Where can I export analytics?,5,Pending,Customer Feedback,2024-08-15
CHNK00000072,FDBK00000072,PROJ000188,USR000554,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2025-04-10
CHNK00000073,FDBK00000073,PROJ000005,USR000178,1,Where can I export analytics?,5,Pending,Customer Feedback,2025-03-01
CHNK00000074,FDBK00000074,PROJ000174,USR000645,1,Support response is too slow.,5,Pending,Customer Feedback,2026-06-09
CHNK00000075,FDBK00000075,PROJ000058,USR000648,1,Simplify navigation menus.,3,Pending,Customer Feedback,2026-01-13
CHNK00000076,FDBK00000076,PROJ000148,USR000359,1,Improve application performance.,3,Pending,Customer Feedback,2025-07-25
CHNK00000077,FDBK00000077,PROJ000045,USR000283,1,Very intuitive interface.,3,Pending,Customer Feedback,2025-10-27
CHNK00000078,FDBK00000078,PROJ000085,USR000641,1,Can I restore deleted tickets?,5,Pending,Customer Feedback,2025-06-19
CHNK00000079,FDBK00000079,PROJ000190,USR000195,1,Login page becomes unresponsive after timeout.,6,Pending,Customer Feedback,2025-01-01
CHNK00000080,FDBK00000080,PROJ000087,USR000116,1,How do I archive projects?,5,Pending,Customer Feedback,2025-08-02
CHNK00000081,FDBK00000081,PROJ000211,USR000688,1,Too many unnecessary notifications.,4,Pending,Customer Feedback,2026-03-16
CHNK00000082,FDBK00000082,PROJ000033,USR000195,1,Support response is too slow.,5,Pending,Customer Feedback,2024-07-22
CHNK00000083,FDBK00000083,PROJ000009,USR000728,1,Workflow is confusing.,3,Pending,Customer Feedback,2025-02-22
CHNK00000084,FDBK00000084,PROJ000091,USR000790,1,How do I archive projects?,5,Pending,Customer Feedback,2024-11-09
CHNK00000085,FDBK00000085,PROJ000013,USR000556,1,Simplify navigation menus.,3,Pending,Customer Feedback,2025-12-07
CHNK00000086,FDBK00000086,PROJ000214,USR000571,1,Very intuitive interface.,3,Pending,Customer Feedback,2026-03-01
CHNK00000087,FDBK00000087,PROJ000209,USR000025,1,Excellent dashboard experience.,3,Pending,Customer Feedback,2025-11-26
CHNK00000088,FDBK00000088,PROJ000178,USR000741,1,How do I archive projects?,5,Pending,Customer Feedback,2025-09-25
CHNK00000089,FDBK00000089,PROJ000210,USR000270,1,Great collaboration features.,3,Pending,Customer Feedback,2025-04-26
CHNK00000090,FDBK00000090,PROJ000156,USR000533,1,How do I archive projects?,5,Pending,Customer Feedback,2026-06-11
CHNK00000091,FDBK00000091,PROJ000097,USR000416,1,Fast and reliable platform.,4,Pending,Customer Feedback,2024-10-05
CHNK00000092,FDBK00000092,PROJ000041,USR000582,1,Improve application performance.,3,Pending,Customer Feedback,2025-06-15
CHNK00000093,FDBK00000093,PROJ000179,USR000007,1,Dashboard takes too long to load.,6,Pending,Customer Feedback,2025-01-30
CHNK00000094,FDBK00000094,PROJ000183,USR000039,1,Very intuitive interface.,3,Pending,Customer Feedback,2025-02-08
CHNK00000095,FDBK00000095,PROJ000240,USR000471,1,Is API access available?,4,Pending,Customer Feedback,2025-10-05
CHNK00000096,FDBK00000096,PROJ000157,USR000375,1,Optimize search experience.,3,Pending,Customer Feedback,2024-12-26
CHNK00000097,FDBK00000097,PROJ000035,USR000117,1,Support response is too slow.,5,Pending,Customer Feedback,2026-02-07
CHNK00000098,FDBK00000098,PROJ000073,USR000136,1,AI suggestions are extremely useful.,5,Pending,Customer Feedback,2024-08-31
CHNK00000099,FDBK00000099,PROJ000127,USR000200,1,Support response is too slow.,5,Pending,Customer Feedback,2025-04-04
CHNK00000100,FDBK00000100,PROJ000183,USR000610,1,Provide export to PDF option.,5,Pending,Customer Feedback,2024-08-28
CHNK00000101,FDBK00000101,PROJ000239,USR000765,1,Integrate with Slack notifications.,4,Pending,Customer Feedback,2024-11-16
CHNK00000102,FDBK00000102,PROJ000005,USR000089,1,How do I archive projects?,5,Pending,Customer Feedback,2025-07-13
CHNK00000103,FDBK00000103,PROJ000149,USR000296,1,Enable custom dashboard widgets.,4,Pending,Customer Feedback,2026-01-24
CHNK00000104,FDBK00000104,PROJ000173,USR000711,1,Fast and reliable platform.,4,Pending,Customer Feedback,2026-05-20
CHNK00000105,FDBK00000105,PROJ000193,USR000431,1,Reduce loading times.,3,Pending,Customer Feedback,2025-05-11
CHNK00000106,FDBK00000106,PROJ000142,USR000009,1,Fast and reliable platform.,4,Pending,Customer Feedback,2026-07-03
CHNK00000107,FDBK00000107,PROJ000141,USR000024,1,Too many unnecessary notifications.,4,Pending,Customer Feedback,2026-01-19
CHNK00000108,FDBK00000108,PROJ000105,USR000734,1,Is API access available?,4,Pending,Customer Feedback,2025-08-07
CHNK00000109,FDBK00000109,PROJ000133,USR000443,1,Dashboard takes too long to load.,6,Pending,Customer Feedback,2025-08-24
CHNK00000110,FDBK00000110,PROJ000199,USR000159,1,Can I restore deleted tickets?,5,Pending,Customer Feedback,2024-10-04
CHNK00000111,FDBK00000111,PROJ000172,USR000683,1,Fast and reliable platform.,4,Pending,Customer Feedback,2025-12-31
CHNK00000112,FDBK00000112,PROJ000233,USR000041,1,Enable custom dashboard widgets.,4,Pending,Customer Feedback,2024-10-25
CHNK00000113,FDBK00000113,PROJ000155,USR000005,1,Simplify navigation menus.,3,Pending,Customer Feedback,2024-12-04
CHNK00000114,FDBK00000114,PROJ000166,USR000609,1,Application freezes frequently.,3,Pending,Customer Feedback,2026-05-01
CHNK00000115,FDBK00000115,PROJ000217,USR000292,1,Enable custom dashboard widgets.,4,Pending,Customer Feedback,2024-12-02
CHNK00000116,FDBK00000116,PROJ000084,USR000747,1,Optimize search experience.,3,Pending,Customer Feedback,2025-08-05
CHNK00000117,FDBK00000117,PROJ000084,USR000763,1,Where can I export analytics?,5,Pending,Customer Feedback,2025-01-04
CHNK00000118,FDBK00000118,PROJ000238,USR000028,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2025-11-01
CHNK00000119,FDBK00000119,PROJ000177,USR000185,1,Workflow is confusing.,3,Pending,Customer Feedback,2025-01-12
CHNK00000120,FDBK00000120,PROJ000104,USR000424,1,Notification emails are duplicated.,4,Pending,Customer Feedback,2024-08-11
CHNK00000121,FDBK00000121,PROJ000082,USR000383,1,Search results are inaccurate.,4,Pending,Customer Feedback,2025-01-18
CHNK00000122,FDBK00000122,PROJ000163,USR000143,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2025-07-19
CHNK00000123,FDBK00000123,PROJ000197,USR000724,1,Reports are difficult to understand.,5,Pending,Customer Feedback,2025-06-27
CHNK00000124,FDBK00000124,PROJ000056,USR000603,1,Support response is too slow.,5,Pending,Customer Feedback,2025-01-12
CHNK00000125,FDBK00000125,PROJ000215,USR000345,1,Improve application performance.,3,Pending,Customer Feedback,2025-10-15
CHNK00000126,FDBK00000126,PROJ000007,USR000487,1,Optimize search experience.,3,Pending,Customer Feedback,2025-05-14
CHNK00000127,FDBK00000127,PROJ000197,USR000386,1,Is API access available?,4,Pending,Customer Feedback,2025-04-07
CHNK00000128,FDBK00000128,PROJ000221,USR000373,1,How do permissions work?,4,Pending,Customer Feedback,2026-02-08
CHNK00000129,FDBK00000129,PROJ000128,USR000535,1,Reports are difficult to understand.,5,Pending,Customer Feedback,2025-07-09
CHNK00000130,FDBK00000130,PROJ000176,USR000140,1,Simplify navigation menus.,3,Pending,Customer Feedback,2026-03-09
CHNK00000131,FDBK00000131,PROJ000245,USR000455,1,Reports are difficult to understand.,5,Pending,Customer Feedback,2025-07-28
CHNK00000132,FDBK00000132,PROJ000192,USR000466,1,Support response is too slow.,5,Pending,Customer Feedback,2025-12-11
CHNK00000133,FDBK00000133,PROJ000222,USR000438,1,Optimize search experience.,3,Pending,Customer Feedback,2024-09-15
CHNK00000134,FDBK00000134,PROJ000058,USR000527,1,How do permissions work?,4,Pending,Customer Feedback,2025-04-01
CHNK00000135,FDBK00000135,PROJ000053,USR000056,1,Reduce loading times.,3,Pending,Customer Feedback,2024-08-14
CHNK00000136,FDBK00000136,PROJ000021,USR000370,1,Login page becomes unresponsive after timeout.,6,Pending,Customer Feedback,2024-12-05
CHNK00000137,FDBK00000137,PROJ000123,USR000486,1,Enhance dashboard usability.,3,Pending,Customer Feedback,2025-03-19
CHNK00000138,FDBK00000138,PROJ000158,USR000047,1,Great collaboration features.,3,Pending,Customer Feedback,2026-02-16
CHNK00000139,FDBK00000139,PROJ000097,USR000605,1,Provide export to PDF option.,5,Pending,Customer Feedback,2025-11-28
CHNK00000140,FDBK00000140,PROJ000013,USR000160,1,Improve application performance.,3,Pending,Customer Feedback,2026-03-16
CHNK00000141,FDBK00000141,PROJ000074,USR000057,1,Excellent dashboard experience.,3,Pending,Customer Feedback,2026-02-04
CHNK00000142,FDBK00000142,PROJ000249,USR000065,1,Simplify navigation menus.,3,Pending,Customer Feedback,2026-02-20
CHNK00000143,FDBK00000143,PROJ000223,USR000593,1,AI suggestions are extremely useful.,5,Pending,Customer Feedback,2025-05-06
CHNK00000144,FDBK00000144,PROJ000204,USR000039,1,Is API access available?,4,Pending,Customer Feedback,2024-11-08
CHNK00000145,FDBK00000145,PROJ000097,USR000312,1,Excellent dashboard experience.,3,Pending,Customer Feedback,2026-03-25
CHNK00000146,FDBK00000146,PROJ000191,USR000702,1,Notification emails are duplicated.,4,Pending,Customer Feedback,2026-02-23
CHNK00000147,FDBK00000147,PROJ000006,USR000171,1,Very intuitive interface.,3,Pending,Customer Feedback,2024-11-30
CHNK00000148,FDBK00000148,PROJ000188,USR000510,1,Improve application performance.,3,Pending,Customer Feedback,2024-10-14
CHNK00000149,FDBK00000149,PROJ000182,USR000636,1,Reduce loading times.,3,Pending,Customer Feedback,2026-06-06
CHNK00000150,FDBK00000150,PROJ000047,USR000655,1,Great collaboration features.,3,Pending,Customer Feedback,2025-04-24
CHNK00000151,FDBK00000151,PROJ000026,USR000284,1,Very intuitive interface.,3,Pending,Customer Feedback,2025-08-30
CHNK00000152,FDBK00000152,PROJ000064,USR000261,1,Excellent dashboard experience.,3,Pending,Customer Feedback,2026-06-14
CHNK00000153,FDBK00000153,PROJ000108,USR000303,1,AI suggestions are extremely useful.,5,Pending,Customer Feedback,2025-04-14
CHNK00000154,FDBK00000154,PROJ000156,USR000351,1,Enable custom dashboard widgets.,4,Pending,Customer Feedback,2025-01-15
CHNK00000155,FDBK00000155,PROJ000131,USR000772,1,Fast and reliable platform.,4,Pending,Customer Feedback,2026-01-30
CHNK00000156,FDBK00000156,PROJ000101,USR000070,1,Application crashes while generating reports.,5,Pending,Customer Feedback,2026-04-15
