ticket_id,project_id,assigned_user_id,ticket_title,ticket_type,priority,status,story_points,created_at
TKT000001,PROJ000021,USR000124,Ticket-1,Task,Medium,Blocked,2,2026-06-26
TKT000002,PROJ000237,USR000300,Ticket-2,Epic,Critical,Closed,10,2026-03-13
TKT000003,PROJ000010,USR000045,Ticket-3,Epic,Critical,In Progress,4,2025-04-17
TKT000004,PROJ000030,USR000095,Ticket-4,Story,Medium,Resolved,7,2025-01-23
TKT000005,PROJ000235,USR000646,Ticket-5,Bug,Low,Blocked,11,2025-04-07
TKT000006,PROJ000072,USR000129,Ticket-6,Epic,Critical,Blocked,8,2025-04-18
TKT000007,PROJ000035,USR000217,Ticket-7,Epic,Critical,In Progress,1,2025-04-04
TKT000008,PROJ000087,USR000396,Ticket-8,Improvement,High,Blocked,13,2024-10-29
TKT000009,PROJ000220,USR000047,Ticket-9,Epic,Low,Resolved,4,2025-08-31
TKT000010,PROJ000123,USR000314,Ticket-10,Bug,Low,In Progress,11,2025-01-20
TKT000011,PROJ000047,USR000472,Ticket-11,Improvement,High,Resolved,4,2024-09-19
TKT000012,PROJ000040,USR000041,Ticket-12,Improvement,Critical,In Progress,8,2026-01-06
TKT000013,PROJ000017,USR000285,Ticket-13,Task,Critical,Open,11,2025-04-15
TKT000014,PROJ000066,USR000177,Ticket-14,Task,Low,Open,2,2025-06-23
TKT000015,PROJ000076,USR000185,Ticket-15,Epic,Medium,Closed,13,2025-10-26
TKT000016,PROJ000162,USR000747,Ticket-16,Epic,High,Blocked,7,2024-10-30
TKT000017,PROJ000215,USR000528,Ticket-17,Story,Critical,Blocked,6,2026-06-29
TKT000018,PROJ000155,USR000134,Ticket-18,Story,Low,Closed,2,2025-01-03
TKT000019,PROJ000074,USR000067,Ticket-19,Task,High,Blocked,10,2025-07-16
TKT000020,PROJ000106,USR000286,Ticket-20,Bug,Medium,Resolved,7,2026-01-19
TKT000021,PROJ000050,USR000718,Ticket-21,Story,Medium,Closed,2,2024-12-20
TKT000022,PROJ000011,USR000358,Ticket-22,Improvement,Low,In Progress,5,2026-05-08
TKT000023,PROJ000232,USR000482,Ticket-23,Task,Low,In Progress,11,2024-08-09
TKT000024,PROJ000043,USR000015,Ticket-24,Task,Medium,In Progress,11,2025-03-17
TKT000025,PROJ000016,USR000513,Ticket-25,Story,High,Open,11,2026-02-23
TKT000026,PROJ000030,USR000537,Ticket-26,Epic,Low,In Progress,9,2024-12-01
TKT000027,PROJ000214,USR000495,Ticket-27,Bug,Medium,Closed,4,2024-07-28
TKT000028,PROJ000174,USR000056,Ticket-28,Improvement,Low,Resolved,2,2025-08-15
TKT000029,PROJ000036,USR000797,Ticket-29,Epic,Critical,Open,4,2025-06-08
TKT000030,PROJ000150,USR000170,Ticket-30,Improvement,Critical,Blocked,1,2025-10-13
TKT000031,PROJ000167,USR000761,Ticket-31,Improvement,Critical,In Progress,11,2026-07-22
TKT000032,PROJ000097,USR000350,Ticket-32,Story,High,Blocked,3,2026-05-13
TKT000033,PROJ000199,USR000790,Ticket-33,Epic,Critical,Blocked,2,2024-12-26
TKT000034,PROJ000066,USR000613,Ticket-34,Epic,Critical,Blocked,8,2025-09-07
TKT000035,PROJ000140,USR000681,Ticket-35,Improvement,Medium,Open,6,2024-12-19
TKT000036,PROJ000054,USR000697,Ticket-36,Bug,Low,Resolved,8,2025-02-21
TKT000037,PROJ000074,USR000763,Ticket-37,Improvement,Low,Blocked,4,2025-12-20
TKT000038,PROJ000119,USR000646,Ticket-38,Task,High,Blocked,4,2024-09-01
TKT000039,PROJ000153,USR000285,Ticket-39,Epic,Low,Open,12,2026-02-15
TKT000040,PROJ000069,USR000196,Ticket-40,Story,Low,Blocked,3,2026-01-17
TKT000041,PROJ000232,USR000287,Ticket-41,Improvement,Critical,In Progress,13,2025-09-04
TKT000042,PROJ000117,USR000682,Ticket-42,Improvement,High,Closed,2,2025-04-03
TKT000043,PROJ000175,USR000568,Ticket-43,Bug,High,Resolved,7,2026-07-15
TKT000044,PROJ000233,USR000166,Ticket-44,Story,High,Open,4,2024-11-23
TKT000045,PROJ000163,USR000268,Ticket-45,Task,Critical,Closed,7,2026-03-30
TKT000046,PROJ000242,USR000576,Ticket-46,Improvement,Critical,Open,13,2024-12-25
TKT000047,PROJ000201,USR000024,Ticket-47,Story,Low,Closed,6,2025-05-14
TKT000048,PROJ000096,USR000553,Ticket-48,Story,Low,Blocked,2,2026-06-24
TKT000049,PROJ000116,USR000181,Ticket-49,Bug,High,Resolved,13,2025-04-10
TKT000050,PROJ000136,USR000608,Ticket-50,Improvement,Critical,Open,1,2025-06-08
TKT000051,PROJ000018,USR000366,Ticket-51,Task,High,In Progress,3,2025-08-09
TKT000052,PROJ000022,USR000648,Ticket-52,Improvement,Critical,Resolved,5,2024-12-11
TKT000053,PROJ000162,USR000799,Ticket-53,Improvement,Critical,Resolved,11,2025-11-24
TKT000054,PROJ000158,USR000478,Ticket-54,Task,Low,Blocked,2,2024-11-21
TKT000055,PROJ000216,USR000031,Ticket-55,Story,Critical,Closed,5,2025-10-15
TKT000056,PROJ000086,USR000078,Ticket-56,Epic,High,Resolved,8,2026-06-27
TKT000057,PROJ000113,USR000757,Ticket-57,Improvement,Critical,Resolved,13,2025-01-11
TKT000058,PROJ000178,USR000441,Ticket-58,Improvement,High,Closed,6,2026-02-07
TKT000059,PROJ000153,USR000758,Ticket-59,Bug,Low,In Progress,2,2025-02-08
TKT000060,PROJ000194,USR000102,Ticket-60,Task,High,Closed,4,2026-01-15
TKT000061,PROJ000027,USR000016,Ticket-61,Improvement,Critical,Closed,4,2025-07-17
TKT000062,PROJ000002,USR000309,Ticket-62,Improvement,Critical,Closed,3,2026-04-10
TKT000063,PROJ000124,USR000769,Ticket-63,Story,Medium,In Progress,3,2024-12-30
TKT000064,PROJ000180,USR000785,Ticket-64,Improvement,Critical,Blocked,6,2026-05-24
TKT000065,PROJ000207,USR000239,Ticket-65,Epic,High,Resolved,1,2025-11-13
TKT000066,PROJ000163,USR000281,Ticket-66,Story,Low,Closed,13,2024-12-25
TKT000067,PROJ000088,USR000506,Ticket-67,Epic,Low,Open,12,2026-03-19
TKT000068,PROJ000074,USR000530,Ticket-68,Improvement,Critical,Blocked,4,2026-03-09
TKT000069,PROJ000067,USR000710,Ticket-69,Improvement,High,In Progress,8,2025-07-10
TKT000070,PROJ000218,USR000469,Ticket-70,Improvement,Critical,Blocked,9,2025-09-30
TKT000071,PROJ000155,USR000383,Ticket-71,Improvement,Critical,Resolved,13,2025-12-31
TKT000072,PROJ000163,USR000435,Ticket-72,Story,Medium,Resolved,12,2025-02-21
TKT000073,PROJ000249,USR000404,Ticket-73,Bug,Critical,Open,5,2025-09-15
TKT000074,PROJ000186,USR000272,Ticket-74,Bug,Critical,Open,10,2025-10-14
TKT000075,PROJ000063,USR000264,Ticket-75,Story,High,Open,4,2026-01-27
TKT000076,PROJ000042,USR000634,Ticket-76,Bug,Medium,Blocked,4,2026-02-27
TKT000077,PROJ000193,USR000023,Ticket-77,Bug,High,Resolved,13,2025-06-17
TKT000078,PROJ000228,USR000434,Ticket-78,Bug,Medium,Blocked,2,2024-12-08
TKT000079,PROJ000147,USR000782,Ticket-79,Improvement,Critical,Open,9,2025-09-02
TKT000080,PROJ000018,USR000052,Ticket-80,Task,High,Blocked,11,2025-10-05
TKT000081,PROJ000028,USR000154,Ticket-81,Bug,Low,In Progress,8,2024-08-25
TKT000082,PROJ000229,USR000091,Ticket-82,Story,Low,Blocked,7,2026-06-17
TKT000083,PROJ000055,USR000573,Ticket-83,Improvement,Low,Open,8,2025-12-02
TKT000084,PROJ000224,USR000176,Ticket-84,Epic,Critical,Blocked,2,2025-02-25
TKT000085,PROJ000034,USR000709,Ticket-85,Epic,Critical,Open,2,2024-08-15
TKT000086,PROJ000202,USR000224,Ticket-86,Story,High,Blocked,1,2025-08-25
TKT000087,PROJ000002,USR000477,Ticket-87,Story,Low,In Progress,6,2024-10-12
TKT000088,PROJ000181,USR000384,Ticket-88,Epic,Critical,Resolved,7,2026-01-20
TKT000089,PROJ000185,USR000202,Ticket-89,Epic,Critical,Open,10,2026-06-07
TKT000090,PROJ000213,USR000773,Ticket-90,Task,Low,Closed,11,2025-07-26
TKT000091,PROJ000154,USR000646,Ticket-91,Epic,Medium,Open,6,2025-11-10
TKT000092,PROJ000091,USR000269,Ticket-92,Bug,Low,Open,2,2024-08-09
TKT000093,PROJ000091,USR000064,Ticket-93,Bug,Low,In Progress,9,2025-08-12
TKT000094,PROJ000170,USR000423,Ticket-94,Story,Medium,Blocked,12,2025-10-20
TKT000095,PROJ000119,USR000395,Ticket-95,Epic,Medium,Closed,3,2024-11-24
TKT000096,PROJ000245,USR000315,Ticket-96,Epic,Medium,Open,13,2025-09-24
TKT000097,PROJ000043,USR000649,Ticket-97,Task,High,Closed,9,2025-07-25
TKT000098,PROJ000233,USR000653,Ticket-98,Task,Low,Blocked,9,2025-05-02
TKT000099,PROJ000087,USR000206,Ticket-99,Epic,Critical,Resolved,5,2025-05-31
TKT000100,PROJ000003,USR000495,Ticket-100,Bug,High,Blocked,10,2025-06-03
TKT000101,PROJ000134,USR000236,Ticket-101,Bug,High,Open,4,2025-03-08
TKT000102,PROJ000181,USR000220,Ticket-102,Bug,High,Resolved,7,2025-05-14
TKT000103,PROJ000056,USR000549,Ticket-103,Story,Medium,Blocked,3,2025-02-14
TKT000104,PROJ000123,USR000437,Ticket-104,Story,High,Open,8,2025-12-08
TKT000105,PROJ000080,USR000452,Ticket-105,Improvement,High,In Progress,8,2024-09-23
TKT000106,PROJ000192,USR000292,Ticket-106,Story,Medium,Closed,8,2025-02-03
TKT000107,PROJ000090,USR000153,Ticket-107,Improvement,Low,Blocked,10,2025-10-15
TKT000108,PROJ000109,USR000502,Ticket-108,Bug,High,Resolved,11,2025-05-13
TKT000109,PROJ000227,USR000752,Ticket-109,Improvement,Medium,Closed,10,2024-08-26
TKT000110,PROJ000062,USR000242,Ticket-110,Improvement,Critical,Resolved,3,2025-10-27
TKT000111,PROJ000236,USR000369,Ticket-111,Improvement,Critical,In Progress,1,2026-06-05
TKT000112,PROJ000077,USR000656,Ticket-112,Task,Critical,Resolved,9,2026-02-12
TKT000113,PROJ000125,USR000690,Ticket-113,Epic,Low,In Progress,10,2025-04-14
TKT000114,PROJ000170,USR000240,Ticket-114,Story,Critical,Resolved,2,2024-12-10
TKT000115,PROJ000174,USR000669,Ticket-115,Task,Medium,Blocked,2,2025-08-29
TKT000116,PROJ000114,USR000577,Ticket-116,Improvement,Low,Closed,5,2025-01-13
TKT000117,PROJ000065,USR000716,Ticket-117,Story,Medium,Blocked,3,2024-08-25
TKT000118,PROJ000247,USR000108,Ticket-118,Bug,Low,Open,13,2024-10-25
TKT000119,PROJ000231,USR000608,Ticket-119,Epic,Medium,Open,6,2024-11-12
TKT000120,PROJ000247,USR000549,Ticket-120,Epic,Low,Resolved,12,2024-12-08
TKT000121,PROJ000103,USR000472,Ticket-121,Bug,Medium,Blocked,8,2024-12-23
TKT000122,PROJ000108,USR000603,Ticket-122,Story,High,Closed,4,2026-05-28
TKT000123,PROJ000218,USR000459,Ticket-123,Improvement,Low,Open,6,2025-07-19
TKT000124,PROJ000110,USR000708,Ticket-124,Task,Critical,Closed,7,2024-09-03
TKT000125,PROJ000049,USR000278,Ticket-125,Story,Critical,Blocked,7,2026-05-21
TKT000126,PROJ000143,USR000100,Ticket-126,Story,Low,Closed,8,2026-03-16
TKT000127,PROJ000173,USR000717,Ticket-127,Bug,Low,Open,7,2025-01-26
TKT000128,PROJ000041,USR000320,Ticket-128,Improvement,Low,Resolved,10,2025-02-15
TKT000129,PROJ000045,USR000483,Ticket-129,Epic,Medium,Blocked,6,2025-09-11
TKT000130,PROJ000069,USR000365,Ticket-130,Task,Low,In Progress,7,2025-03-21
TKT000131,PROJ000056,USR000607,Ticket-131,Bug,Low,In Progress,3,2025-04-26
TKT000132,PROJ000078,USR000302,Ticket-132,Bug,Low,Open,9,2024-09-19
TKT000133,PROJ000018,USR000094,Ticket-133,Bug,Medium,Blocked,5,2025-11-03
TKT000134,PROJ000163,USR000283,Ticket-134,Story,Low,In Progress,7,2026-04-20
TKT000135,PROJ000157,USR000714,Ticket-135,Bug,Critical,Open,4,2024-11-17
TKT000136,PROJ000111,USR000130,Ticket-136,Task,Medium,Closed,12,2025-04-19
TKT000137,PROJ000109,USR000448,Ticket-137,Task,Low,Blocked,6,2025-11-12
TKT000138,PROJ000103,USR000008,Ticket-138,Improvement,Medium,Blocked,7,2025-12-08
TKT000139,PROJ000020,USR000037,Ticket-139,Bug,Medium,In Progress,6,2026-03-22
TKT000140,PROJ000215,USR000004,Ticket-140,Epic,Critical,Blocked,1,2024-09-06
TKT000141,PROJ000181,USR000652,Ticket-141,Task,High,Resolved,12,2026-01-26
TKT000142,PROJ000230,USR000700,Ticket-142,Story,Low,Open,12,2026-03-17
TKT000143,PROJ000192,USR000740,Ticket-143,Bug,Medium,In Progress,5,2025-10-22
TKT000144,PROJ000180,USR000113,Ticket-144,Task,High,Resolved,1,2025-02-12
TKT000145,PROJ000222,USR000381,Ticket-145,Task,Low,Blocked,1,2026-02-05
TKT000146,PROJ000146,USR000559,Ticket-146,Improvement,High,Closed,4,2025-11-30
TKT000147,PROJ000026,USR000169,Ticket-147,Story,Medium,Open,9,2025-07-06
TKT000148,PROJ000158,USR000376,Ticket-148,Improvement,Low,In Progress,13,2025-12-30
TKT000149,PROJ000231,USR000673,Ticket-149,Task,High,Blocked,13,2025-02-01
TKT000150,PROJ000203,USR000685,Ticket-150,Bug,Critical,Closed,5,2025-12-23
TKT000151,PROJ000224,USR000585,Ticket-151,Bug,Medium,Resolved,7,2026-07-15
TKT000152,PROJ000078,USR000594,Ticket-152,Improvement,High,Closed,4,2024-08-08
TKT000153,PROJ000058,USR000724,Ticket-153,Improvement,Medium,Blocked,12,2025-03-12
TKT000154,PROJ000175,USR000170,Ticket-154,Bug,Medium,Closed,9,2026-06-28
TKT000155,PROJ000015,USR000427,Ticket-155,Epic,High,Resolved,4,2025-12-31
TKT000156,PROJ000220,USR000588,Ticket-156,Epic,High,Open,5,2024-12-25
TKT000157,PROJ000108,USR000431,Ticket-157,Bug,Critical,Resolved,10,2025-06-04
TKT000158,PROJ000138,USR000042,Ticket-158,Epic,Medium,Resolved,4,2025-11-13
TKT000159,PROJ000209,USR000765,Ticket-159,Improvement,Critical,Closed,2,2024-11-12
TKT000160,PROJ000057,USR000785,Ticket-160,Task,Medium,In Progress,12,2024-09-03
TKT000161,PROJ000056,USR000291,Ticket-161,Improvement,Low,Resolved,2,2024-12-06
TKT000162,PROJ000068,USR000498,Ticket-162,Task,High,Closed,3,2025-02-26
TKT000163,PROJ000224,USR000789,Ticket-163,Task,Critical,Resolved,4,2024-12-08
TKT000164,PROJ000233,USR000713,Ticket-164,Bug,Medium,Open,1,2025-04-24
TKT000165,PROJ000123,USR000631,Ticket-165,Task,Critical,Blocked,1,2025-07-27
TKT000166,PROJ000095,USR000289,Ticket-166,Story,Low,In Progress,9,2025-11-25
TKT000167,PROJ000175,USR000503,Ticket-167,Bug,Medium,Open,9,2024-12-31
TKT000168,PROJ000035,USR000587,Ticket-168,Epic,Critical,Open,13,2026-02-25
TKT000169,PROJ000131,USR000258,Ticket-169,Epic,High,Closed,5,2025-11-18
TKT000170,PROJ000137,USR000668,Ticket-170,Task,Critical,Open,10,2025-03-10
TKT000171,PROJ000151,USR000607,Ticket-171,Task,High,Open,5,2025-09-04
TKT000172,PROJ000016,USR000434,Ticket-172,Epic,Medium,Resolved,8,2025-07-16
TKT000173,PROJ000214,USR000753,Ticket-173,Task,Medium,Open,3,2026-06-09
TKT000174,PROJ000231,USR000080,Ticket-174,Task,Critical,In Progress,3,2025-10-15
TKT000175,PROJ000029,USR000249,Ticket-175,Story,Medium,Open,11,2026-01-16
TKT000176,PROJ000182,USR000466,Ticket-176,Improvement,Low,Blocked,10,2025-01-15
TKT000177,PROJ000159,USR000313,Ticket-177,Improvement,Medium,Closed,10,2024-11-01
TKT000178,PROJ000202,USR000648,Ticket-178,Story,High,Resolved,3,2025-03-16
TKT000179,PROJ000130,USR000707,Ticket-179,Bug,Low,In Progress,6,2026-07-19
TKT000180,PROJ000078,USR000703,Ticket-180,Task,High,Open,7,2026-03-20
TKT000181,PROJ000235,USR000433,Ticket-181,Bug,Medium,Closed,2,2026-04-21
TKT000182,PROJ000235,USR000062,Ticket-182,Improvement,Medium,Closed,6,2025-06-02
TKT000183,PROJ000154,USR000388,Ticket-183,Improvement,Low,Closed,5,2024-10-17
TKT000184,PROJ000168,USR000507,Ticket-184,Story,Low,Open,5,2025-11-03
TKT000185,PROJ000143,USR000354,Ticket-185,Bug,Low,Resolved,8,2024-12-15
TKT000186,PROJ000077,USR000023,Ticket-186,Epic,Critical,Resolved,1,2026-01-24
TKT000187,PROJ000177,USR000694,Ticket-187,Epic,High,Resolved,4,2025-12-03
TKT000188,PROJ000231,USR000754,Ticket-188,Epic,Low,Blocked,3,2025-05-11
TKT000189,PROJ000148,USR000215,Ticket-189,Story,Low,In Progress,10,2025-03-21
TKT000190,PROJ000185,USR000151,Ticket-190,Improvement,Critical,Closed,13,2025-08-26
TKT000191,PROJ000197,USR000631,Ticket-191,Epic,High,Closed,2,2025-02-16
TKT000192,PROJ000004,USR000718,Ticket-192,Task,Medium,Blocked,4,2025-09-05
TKT000193,PROJ000140,USR000126,Ticket-193,Story,Medium,In Progress,8,2026-06-09
TKT000194,PROJ000014,USR000072,Ticket-194,Task,Critical,Open,1,2026-03-05
TKT000195,PROJ000158,USR000318,Ticket-195,Task,Low,Open,2,2026-05-27
TKT000196,PROJ000232,USR000388,Ticket-196,Bug,Critical,Open,5,2024-11-17
TKT000197,PROJ000203,USR000084,Ticket-197,Epic,Critical,Resolved,4,2025-11-01
TKT000198,PROJ000174,USR000010,Ticket-198,Epic,Medium,Resolved,13,2026-04-18
TKT000199,PROJ000025,USR000412,Ticket-199,Improvement,Low,Resolved,8,2026-07-12
TKT000200,PROJ000061,USR000261,Ticket-200,Epic,Medium,Closed,1,2026-04-23
TKT000201,PROJ000114,USR000057,Ticket-201,Bug,Critical,Resolved,4,2026-04-17
TKT000202,PROJ000122,USR000070,Ticket-202,Bug,High,Blocked,2,2026-04-07
TKT000203,PROJ000001,USR000400,Ticket-203,Story,Critical,Open,8,2024-11-11
TKT000204,PROJ000098,USR000362,Ticket-204,Story,High,In Progress,12,2025-10-12
TKT000205,PROJ000150,USR000626,Ticket-205,Task,Medium,Blocked,3,2025-10-23
TKT000206,PROJ000035,USR000460,Ticket-206,Improvement,Medium,Blocked,3,2025-11-27
TKT000207,PROJ000142,USR000201,Ticket-207,Epic,High,Closed,6,2024-08-20
TKT000208,PROJ000101,USR000385,Ticket-208,Story,High,Resolved,10,2024-09-19
TKT000209,PROJ000011,USR000676,Ticket-209,Bug,Critical,Open,3,2026-06-21
TKT000210,PROJ000129,USR000372,Ticket-210,Task,High,Closed,9,2026-01-16
TKT000211,PROJ000227,USR000310,Ticket-211,Bug,Critical,In Progress,12,2025-12-28
TKT000212,PROJ000197,USR000224,Ticket-212,Improvement,High,Resolved,8,2024-12-14
TKT000213,PROJ000130,USR000323,Ticket-213,Epic,Medium,Open,4,2024-12-07
TKT000214,PROJ000053,USR000775,Ticket-214,Bug,Critical,Blocked,1,2024-12-05
TKT000215,PROJ000138,USR000656,Ticket-215,Epic,Medium,Open,8,2026-04-15
TKT000216,PROJ000099,USR000516,Ticket-216,Bug,Medium,In Progress,11,2026-04-29
TKT000217,PROJ000099,USR000782,Ticket-217,Improvement,Low,Closed,8,2025-05-10
TKT000218,PROJ000088,USR000140,Ticket-218,Improvement,High,Closed,11,2025-03-31
TKT000219,PROJ000138,USR000517,Ticket-219,Epic,High,Open,4,2026-02-20
TKT000220,PROJ000207,USR000556,Ticket-220,Improvement,Critical,Resolved,2,2025-04-11
TKT000221,PROJ000227,USR000527,Ticket-221,Epic,Critical,In Progress,5,2025-12-15
TKT000222,PROJ000018,USR000440,Ticket-222,Bug,Critical,Resolved,1,2025-07-09
TKT000223,PROJ000091,USR000347,Ticket-223,Bug,Low,Closed,10,2025-06-18
TKT000224,PROJ000201,USR000182,Ticket-224,Task,Low,Resolved,7,2026-02-17
TKT000225,PROJ000236,USR000397,Ticket-225,Improvement,Medium,Blocked,13,2026-02-09
TKT000226,PROJ000071,USR000127,Ticket-226,Story,Low,In Progress,2,2025-04-02
TKT000227,PROJ000233,USR000553,Ticket-227,Epic,Low,In Progress,1,2026-06-16
TKT000228,PROJ000218,USR000358,Ticket-228,Bug,Critical,In Progress,12,2026-04-23
TKT000229,PROJ000228,USR000221,Ticket-229,Improvement,Low,Blocked,4,2025-12-15
TKT000230,PROJ000224,USR000374,Ticket-230,Bug,Critical,Resolved,11,2024-10-01
