metric_id,project_id,metric_name,metric_value,recorded_date
MET000001,PROJ000210,Sprint Velocity,6.39,2025-03-04
MET000002,PROJ000005,Customer Satisfaction,42.16,2026-04-20
MET000003,PROJ000024,Average Response Time,31.09,2026-04-21
MET000004,PROJ000203,Retention Rate,55.74,2025-12-16
MET000005,PROJ000120,Retention Rate,19.4,2025-08-25
MET000006,PROJ000196,Average Response Time,93.27,2025-06-18
MET000007,PROJ000230,Retention Rate,71.09,2026-06-15
MET000008,PROJ000153,Average Response Time,42.7,2026-03-04
MET000009,PROJ000206,Monthly Active Users,8.6,2024-10-25
MET000010,PROJ000034,Bug Resolution Rate,93.8,2025-07-12
MET000011,PROJ000001,Average Response Time,70.77,2024-12-06
MET000012,PROJ000017,Monthly Active Users,41.69,2026-03-07
MET000013,PROJ000135,Bug Resolution Rate,3.77,2025-07-01
MET000014,PROJ000057,Net Promoter Score,17.93,2025-01-13
MET000015,PROJ000130,Monthly Active Users,79.2,2024-08-29
MET000016,PROJ000002,Net Promoter Score,53.92,2025-03-17
MET000017,PROJ000174,Feature Adoption,59.62,2025-12-07
MET000018,PROJ000101,Monthly Active Users,22.33,2025-02-01
MET000019,PROJ000244,Feature Adoption,31.08,2025-05-25
MET000020,PROJ000083,Monthly Active Users,71.81,2024-07-22
MET000021,PROJ000011,Retention Rate,38.29,2024-09-05
MET000022,PROJ000077,Deployment Frequency,86.04,2025-04-02
MET000023,PROJ000182,Net Promoter Score,57.92,2026-03-05
MET000024,PROJ000129,Deployment Frequency,35.35,2025-02-10
MET000025,PROJ000200,Average Response Time,67.13,2025-06-14
MET000026,PROJ000181,Monthly Active Users,46.71,2024-10-19
MET000027,PROJ000108,Feature Adoption,59.86,2025-03-06
MET000028,PROJ000128,Feature Completion,3.51,2025-04-12
MET000029,PROJ000216,Bug Resolution Rate,18.17,2024-07-25
MET000030,PROJ000152,Feature Completion,17.39,2026-01-02
MET000031,PROJ000049,Bug Resolution Rate,50.38,2025-09-17
MET000032,PROJ000074,Feature Completion,82.97,2025-09-04
MET000033,PROJ000139,Deployment Frequency,93.07,2025-04-27
MET000034,PROJ000128,Bug Resolution Rate,11.41,2024-11-27
MET000035,PROJ000232,Feature Adoption,41.66,2026-04-25
MET000036,PROJ000017,Monthly Active Users,36.67,2024-12-05
MET000037,PROJ000118,Monthly Active Users,87.24,2024-11-04
MET000038,PROJ000249,Sprint Velocity,43.81,2025-09-20
