sprint_id,project_id,sprint_name,goal,status,start_date,end_date
SPR000001,PROJ000082,Sprint 1,Many trial reason within suffer radio more reality.,Active,2024-10-21,2025-02-21
SPR000002,PROJ000022,Sprint 2,Such want wife meet south name owner number too.,Active,2025-10-20,2026-07-22
SPR000003,PROJ000027,Sprint 3,Business scientist explain least southern little single seat.,Planned,2024-10-19,2025-08-16
SPR000004,PROJ000216,Sprint 4,Result from join country reduce gun music firm hospital officer.,Planned,2025-02-10,2025-08-15
SPR000005,PROJ000191,Sprint 5,Spend single house analysis ball.,Active,2025-05-04,2026-02-13
SPR000006,PROJ000029,Sprint 6,Especially southern nothing above study.,Planned,2025-10-01,2026-03-26
SPR000007,PROJ000161,Sprint 7,Same specific little argue subject various gun.,Planned,2025-07-13,2026-03-01
SPR000008,PROJ000040,Sprint 8,Source really produce surface my.,Completed,2025-03-18,2026-02-18
SPR000009,PROJ000097,Sprint 9,Itself a hope least owner catch talk in explain mind as.,Completed,2025-12-23,2026-04-10
SPR000010,PROJ000091,Sprint 10,Prepare organization far social or gas.,Completed,2024-12-29,2026-07-07
SPR000011,PROJ000163,Sprint 11,Safe sport central ago affect forward stop audience whether.,Completed,2025-10-31,2026-02-26
SPR000012,PROJ000075,Sprint 12,Old I keep instead their personal chance head.,Active,2026-01-28,2026-03-02
SPR000013,PROJ000175,Sprint 13,Hospital notice agent pull why.,Active,2025-04-02,2026-02-09
SPR000014,PROJ000018,Sprint 14,Nature key shake know be attorney section field growth common.,Active,2025-04-17,2025-06-08
SPR000015,PROJ000130,Sprint 15,Against reason inside available.,Active,2026-05-28,2026-08-20
SPR000016,PROJ000017,Sprint 16,Shoulder baby father quite show religious hospital.,Planned,2025-12-13,2026-03-23
SPR000017,PROJ000046,Sprint 17,Form that happy others determine institution degree garden.,Active,2024-07-25,2026-04-07
SPR000018,PROJ000220,Sprint 18,Story determine speech find.,Active,2024-10-04,2025-06-04
SPR000019,PROJ000112,Sprint 19,Else them my appear health bit.,Completed,2024-09-06,2024-11-10
SPR000020,PROJ000136,Sprint 20,Likely seek those they people hope purpose professor.,Planned,2025-05-15,2026-04-11
SPR000021,PROJ000152,Sprint 21,Exist light station much cell which purpose.,Active,2024-12-08,2026-05-05
SPR000022,PROJ000191,Sprint 22,Place consider scene event machine them.,Planned,2024-12-11,2026-02-16
SPR000023,PROJ000183,Sprint 23,History personal single usually if star.,Active,2024-10-29,2026-04-25
SPR000024,PROJ000161,Sprint 24,Lawyer prevent small day free popular management try dream.,Planned,2025-01-02,2026-02-05
SPR000025,PROJ000012,Sprint 25,Direction cover only five miss firm nature.,Completed,2025-05-03,2025-09-14
SPR000026,PROJ000098,Sprint 26,Page both radio hair series understand relationship organization.,Planned,2025-11-21,2026-02-10
SPR000027,PROJ000212,Sprint 27,Test team upon history same maintain beyond nation inside.,Completed,2025-11-24,2026-02-11
SPR000028,PROJ000181,Sprint 28,Baby contain money impact.,Active,2025-02-24,2026-03-28
SPR000029,PROJ000090,Sprint 29,Security citizen must relationship really marriage dog agree south.,Planned,2025-10-19,2025-11-09
SPR000030,PROJ000186,Sprint 30,Deep enough person gun point matter wife across suffer happen.,Completed,2026-02-20,2026-08-02
SPR000031,PROJ000227,Sprint 31,End collection loss free within figure group return skill.,Completed,2024-12-25,2025-04-02
SPR000032,PROJ000224,Sprint 32,Add administration full expert through money artist.,Active,2026-01-31,2026-07-11
SPR000033,PROJ000196,Sprint 33,Trade beyond able beautiful north cup company.,Planned,2025-11-29,2026-01-14
SPR000034,PROJ000129,Sprint 34,Memory his exist reason act individual care fine.,Active,2024-10-13,2026-08-08
SPR000035,PROJ000170,Sprint 35,Might hope drive still no thing last relationship.,Active,2026-02-21,2026-04-30
SPR000036,PROJ000209,Sprint 36,Strategy sure once change could defense here star possible maintain.,Active,2025-02-22,2025-11-05
SPR000037,PROJ000199,Sprint 37,Exist care simply painting try.,Active,2025-05-04,2025-05-26
SPR000038,PROJ000160,Sprint 38,Mind fill everybody grow about PM position wall.,Planned,2025-03-27,2026-02-18
SPR000039,PROJ000079,Sprint 39,Technology answer officer I.,Planned,2024-11-03,2025-07-25
SPR000040,PROJ000019,Sprint 40,Allow above so know this any travel girl source machine.,Completed,2025-05-16,2026-03-24
SPR000041,PROJ000118,Sprint 41,Trip radio effort tough strategy which quite.,Active,2024-11-30,2025-09-08
SPR000042,PROJ000230,Sprint 42,Visit lot able war wall however.,Completed,2025-01-02,2026-07-31
SPR000043,PROJ000049,Sprint 43,Clear game item camera current leader almost blue end development it.,Active,2025-01-31,2025-07-18
SPR000044,PROJ000244,Sprint 44,Fill serious somebody than kid.,Completed,2026-03-03,2026-03-27
SPR000045,PROJ000030,Sprint 45,Long go heavy thought bad.,Completed,2025-04-26,2026-04-28
SPR000046,PROJ000217,Sprint 46,Such use now meeting perhaps far treat.,Completed,2025-03-17,2026-02-02
SPR000047,PROJ000148,Sprint 47,Sport mention myself simply reduce than base focus.,Planned,2025-04-19,2025-07-31
SPR000048,PROJ000250,Sprint 48,Prove attention find situation picture turn themselves friend require manage.,Planned,2025-09-04,2026-06-23
SPR000049,PROJ000156,Sprint 49,Positive subject subject window general.,Completed,2024-11-09,2026-05-31
SPR000050,PROJ000010,Sprint 50,Add study certain when follow several maintain fear most travel.,Planned,2025-03-04,2026-01-04
SPR000051,PROJ000082,Sprint 51,Situation part expect place appear own east word real.,Completed,2025-06-10,2026-02-20
SPR000052,PROJ000034,Sprint 52,Trouble challenge positive president note.,Completed,2026-03-23,2026-04-11
SPR000053,PROJ000096,Sprint 53,Environment analysis design would manage college.,Planned,2024-08-27,2025-04-10
SPR000054,PROJ000143,Sprint 54,Entire American fall type quickly able young.,Completed,2025-07-27,2025-12-03
SPR000055,PROJ000014,Sprint 55,Make source wife front hear policy.,Planned,2025-11-27,2026-01-28
SPR000056,PROJ000058,Sprint 56,Child no level reality prepare natural.,Active,2025-10-24,2026-01-05
SPR000057,PROJ000104,Sprint 57,Month exist sing country sit front hand himself.,Planned,2026-05-20,2026-07-19
SPR000058,PROJ000089,Sprint 58,East factor phone feeling so true.,Completed,2026-03-08,2026-07-18
SPR000059,PROJ000221,Sprint 59,East evidence response full hard wear however week.,Completed,2025-08-30,2026-05-26
SPR000060,PROJ000065,Sprint 60,Movie grow whose away key debate she.,Active,2025-03-02,2026-07-05
SPR000061,PROJ000102,Sprint 61,Song choice nearly century include phone.,Active,2025-08-01,2026-06-07
SPR000062,PROJ000125,Sprint 62,The even of dog environmental tend why heavy five school gas.,Planned,2025-03-28,2025-09-04
SPR000063,PROJ000191,Sprint 63,Fall none pull media gas continue real meeting.,Active,2025-03-29,2026-05-22
SPR000064,PROJ000026,Sprint 64,Their suddenly can appear baby computer new deep race during.,Planned,2024-10-24,2026-04-02
SPR000065,PROJ000075,Sprint 65,Land identify attack kid direction lawyer last later room.,Completed,2025-09-19,2026-01-13
SPR000066,PROJ000076,Sprint 66,Could avoid chair peace plan.,Completed,2026-05-16,2026-06-29
SPR000067,PROJ000074,Sprint 67,Yourself old name attorney minute effort fact model fill.,Completed,2026-06-14,2026-08-20
SPR000068,PROJ000116,Sprint 68,Leave see rule entire husband wind.,Active,2025-10-08,2026-03-20
SPR000069,PROJ000083,Sprint 69,Option draw around large.,Planned,2025-01-13,2025-03-15
SPR000070,PROJ000109,Sprint 70,Note alone list see service purpose else all notice base.,Planned,2024-07-23,2026-04-26
SPR000071,PROJ000056,Sprint 71,Which foreign life also smile.,Planned,2025-03-30,2025-09-20
SPR000072,PROJ000008,Sprint 72,Democratic always point public herself wind station.,Completed,2025-09-12,2026-08-15
SPR000073,PROJ000223,Sprint 73,Night take professional fire peace office view majority under free.,Active,2025-06-30,2026-05-06
SPR000074,PROJ000115,Sprint 74,Writer training identify stop of.,Active,2025-12-11,2026-02-12
SPR000075,PROJ000089,Sprint 75,Role government though also.,Completed,2026-03-28,2026-06-24
SPR000076,PROJ000027,Sprint 76,Travel value charge present.,Completed,2026-02-04,2026-04-27
SPR000077,PROJ000091,Sprint 77,General back her partner every game oil source experience be across.,Planned,2025-08-24,2025-12-12
SPR000078,PROJ000125,Sprint 78,Six learn financial red remember thought necessary week mind value.,Planned,2025-04-06,2026-05-28
SPR000079,PROJ000109,Sprint 79,Anything star list right think test concern serve seem.,Planned,2026-03-10,2026-03-26
SPR000080,PROJ000014,Sprint 80,Art maintain group fund save group audience such.,Completed,2024-11-23,2025-07-13
